"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2022","1,279.97","1,290.00","1,297.59","1,269.35","498.63K","-0.78%"
"10/10/2022","1,290.04","1,323.17","1,337.58","1,288.68","451.44K","-2.52%"
"10/09/2022","1,323.41","1,315.08","1,328.55","1,308.15","210.50K","0.64%"
"10/08/2022","1,315.05","1,331.07","1,336.69","1,304.08","227.70K","-1.20%"
"10/07/2022","1,330.99","1,352.17","1,361.26","1,319.17","574.76K","-1.57%"
"10/06/2022","1,352.27","1,352.07","1,383.02","1,347.78","680.65K","0.01%"
"10/05/2022","1,352.07","1,361.51","1,364.03","1,317.58","564.42K","-0.69%"
"10/04/2022","1,361.48","1,323.37","1,367.30","1,318.87","550.05K","2.88%"
"10/03/2022","1,323.41","1,277.02","1,329.16","1,266.86","604.19K","3.74%"
"10/02/2022","1,275.74","1,311.80","1,317.41","1,272.38","432.45K","-2.75%"
"10/01/2022","1,311.80","1,328.73","1,333.61","1,303.22","293.02K","-1.27%"
"09/30/2022","1,328.73","1,336.05","1,372.44","1,316.62","866.63K","-0.55%"
"09/29/2022","1,336.08","1,337.34","1,351.61","1,289.66","871.66K","-0.10%"
"09/28/2022","1,337.37","1,328.23","1,354.75","1,261.29","1.08M","0.69%"
"09/27/2022","1,328.23","1,337.07","1,399.67","1,305.49","1.00M","-0.66%"
"09/26/2022","1,337.06","1,294.24","1,339.17","1,279.71","1.05M","3.31%"
"09/25/2022","1,294.26","1,317.01","1,335.73","1,271.87","579.09K","-1.73%"
"09/24/2022","1,317.00","1,327.91","1,348.91","1,307.96","559.42K","-0.83%"
"09/23/2022","1,327.96","1,326.12","1,356.74","1,264.91","1.16M","0.11%"
"09/22/2022","1,326.44","1,247.64","1,346.38","1,237.96","1.11M","6.31%"
"09/21/2022","1,247.74","1,323.34","1,388.38","1,222.29","1.39M","-5.71%"
"09/20/2022","1,323.33","1,375.96","1,384.39","1,315.03","765.14K","-3.83%"
"09/19/2022","1,376.00","1,334.82","1,391.50","1,284.50","1.11M","3.07%"
"09/18/2022","1,335.01","1,468.76","1,469.21","1,327.21","934.28K","-9.11%"
"09/17/2022","1,468.79","1,434.01","1,475.05","1,409.65","483.78K","2.43%"
"09/16/2022","1,434.01","1,472.63","1,483.43","1,410.90","829.01K","-2.62%"
"09/15/2022","1,472.64","1,637.89","1,653.55","1,461.16","1.66M","-10.09%"
"09/14/2022","1,637.92","1,574.41","1,646.09","1,556.97","858.28K","4.03%"
"09/13/2022","1,574.47","1,716.45","1,751.50","1,562.30","1.30M","-8.27%"
